name,Stem.P50,Leaf.P50
Notholithocarpus densiflorus,-3.93,-3.89
Quercus agrifolia,-4.32,-3.91
Quercus berberidifolia,-5.64,-5.35
Quercus cedrosensis,NA,NA
Quercus chrysolepis,-4.08,-4.86
Quercus cornelius-mulleri,-5.26,-6.11
Quercus douglasii,-4.48,-3.73
Quercus dumosa,-5.86,-4.95
Quercus durata,-4.29,-3.82
Quercus engelmannii,NA,NA
Quercus garryana,-3.38,-3.52
Quercus john-tuckeri,-6.16,-5.11
Quercus kelloggii,-3.86,-3.56
Quercus lobata,-3.58,-3.02
Quercus pacifica,-6.55,-5.23
Quercus palmeri,-5.11,-5.23
Quercus parvula,-3.89,-3.94
Quercus sadleriana,-2.74,-2.72
Quercus tomentella,-4.52,-3.95
Quercus turbinella,NA,NA
Quercus vacciniifolia,-3.59,-3.15
Quercus wislizeni,-4.36,-3.76